path,loc,namespaces,classes,structs,interfaces,enums,methods,properties,dllimports,unsafe,nullability_suppressed,lock_this,empty_catch,thread_sleep_calls,doevents_calls,env_exit_calls,gc_collect_calls,async_void,datetime_now,submit_calls,risk,summary,improvements
ControllerKeyMapManager.cs,167,WootMouseRemap,1,0,0,2,9,0,0,False,False,False,False,False,False,False,False,False,False,0,1,"Types: 1 class(es), 0 struct(s), 0 interface(s), 2 enum(s). Methods: 9, Properties: 0.",ViGEm updates without Submit/SubmitReport detected: ensure each update tick submits to the virtual device.
Enums.cs,27,WootMouseRemap,0,0,0,5,0,0,0,False,False,False,False,False,False,False,False,False,False,0,1,"Methods: 0, Properties: 0.",ViGEm updates without Submit/SubmitReport detected: ensure each update tick submits to the virtual device.
HotkeyService.cs,135,WootMouseRemap.Core,1,0,0,0,9,0,1,False,False,False,False,False,False,False,False,False,False,0,3,"Types: 1 class(es), 0 struct(s), 0 interface(s), 0 enum(s). Methods: 9, Properties: 0. P/Invoke: 1 import(s).","DllImport: add SetLastError=true where appropriate and check Marshal.GetLastWin32Error(). DllImport: specify CharSet (e.g., CharSet.Unicode) to avoid ANSI/Unicode mismatches."
InputEventHub.cs,75,WootMouseRemap.Core,1,0,0,0,4,0,0,False,False,False,False,False,False,False,False,False,False,0,1,"Types: 1 class(es), 0 struct(s), 0 interface(s), 0 enum(s). Methods: 4, Properties: 0.",
OverlayForm.cs,923,WootMouseRemap,1,0,0,0,35,0,0,False,True,False,False,False,False,True,False,False,True,0,3,"Types: 1 class(es), 0 struct(s), 0 interface(s), 0 enum(s). Methods: 35, Properties: 0. Nullability suppressed pragmas present.",Nullability warnings suppressed: remove suppression and fix annotations to prevent NREs. Avoid Environment.Exit in libraries; propagate errors instead. Prefer DateTime.UtcNow for timestamps; use time providers for testability. ViGEm updates without Submit/SubmitReport detected: ensure each update tick submits to the virtual device.
Program.cs,57,WootMouseRemap,1,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,True,0,1,"Types: 1 class(es), 0 struct(s), 0 interface(s), 0 enum(s). Methods: 0, Properties: 0.",Prefer DateTime.UtcNow for timestamps; use time providers for testability.
XInputStatePoller.cs,51,WootMouseRemap.Core,1,0,0,0,3,0,0,False,False,False,False,False,False,False,False,False,False,0,1,"Types: 1 class(es), 0 struct(s), 0 interface(s), 0 enum(s). Methods: 3, Properties: 0.",
Calibration/AutoTuner.cs,103,WootMouseRemap,1,0,0,0,3,0,0,False,False,False,False,False,False,False,False,False,False,0,1,"Types: 1 class(es), 0 struct(s), 0 interface(s), 0 enum(s). Methods: 3, Properties: 0.",
Calibration/FigureEightDriver.cs,16,WootMouseRemap,1,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,0,1,"Types: 1 class(es), 0 struct(s), 0 interface(s), 0 enum(s). Methods: 0, Properties: 0.",
Controllers/ControllerManager.cs,28,WootMouseRemap.Controllers,1,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,0,1,"Types: 1 class(es), 0 struct(s), 0 interface(s), 0 enum(s). Methods: 0, Properties: 0.",
Controllers/DirectInputController.cs,88,WootMouseRemap.Controllers,1,0,0,0,2,1,0,False,False,False,False,False,False,False,False,False,False,0,1,"Types: 1 class(es), 0 struct(s), 0 interface(s), 0 enum(s). Methods: 2, Properties: 1.",
Controllers/PhysicalController.cs,26,WootMouseRemap.Controllers,1,1,0,0,3,2,0,False,False,False,False,False,False,False,False,False,False,0,1,"Types: 1 class(es), 1 struct(s), 0 interface(s), 0 enum(s). Methods: 3, Properties: 2.",
Controllers/XInputController.cs,84,WootMouseRemap.Controllers,1,2,0,0,4,1,2,False,False,False,False,False,False,False,False,False,False,0,3,"Types: 1 class(es), 2 struct(s), 0 interface(s), 0 enum(s). Methods: 4, Properties: 1. P/Invoke: 2 import(s).","DllImport: add SetLastError=true where appropriate and check Marshal.GetLastWin32Error(). DllImport: specify CharSet (e.g., CharSet.Unicode) to avoid ANSI/Unicode mismatches. DllImport: add SetLastError=true where appropriate and check Marshal.GetLastWin32Error(). DllImport: specify CharSet (e.g., CharSet.Unicode) to avoid ANSI/Unicode mismatches."
Core/BackupManager.cs,413,WootMouseRemap.Core,7,0,0,1,10,27,0,False,False,False,False,False,False,False,False,False,True,0,1,"Types: 7 class(es), 0 struct(s), 0 interface(s), 1 enum(s). Methods: 10, Properties: 27.",Prefer DateTime.UtcNow for timestamps; use time providers for testability.
Core/IModeService.cs,22,WootMouseRemap.Core,0,0,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,0,1,"Types: 0 class(es), 0 struct(s), 1 interface(s), 0 enum(s). Methods: 0, Properties: 0.",
Core/ModeController.cs,99,WootMouseRemap,1,0,0,0,3,1,0,False,False,False,False,False,False,False,False,False,False,0,1,"Types: 1 class(es), 0 struct(s), 0 interface(s), 0 enum(s). Methods: 3, Properties: 1.",
Core/ModeService.cs,73,WootMouseRemap.Core,1,0,0,0,5,0,0,False,False,False,False,False,False,False,False,False,False,0,1,"Types: 1 class(es), 0 struct(s), 0 interface(s), 0 enum(s). Methods: 5, Properties: 0.",
Core/ModeStateValidator.cs,321,WootMouseRemap.Core,4,0,0,1,8,6,0,False,False,False,False,False,False,False,False,False,False,0,1,"Types: 4 class(es), 0 struct(s), 0 interface(s), 1 enum(s). Methods: 8, Properties: 6.",
Core/ModeStatusFormatter.cs,19,WootMouseRemap.Core,1,0,0,0,1,0,0,False,False,False,False,False,False,False,False,False,False,0,1,"Types: 1 class(es), 0 struct(s), 0 interface(s), 0 enum(s). Methods: 1, Properties: 0.",
Core/ModeTransitionManager.cs,344,WootMouseRemap.Core,3,0,0,0,12,6,0,False,False,False,False,False,False,False,False,False,False,0,1,"Types: 3 class(es), 0 struct(s), 0 interface(s), 0 enum(s). Methods: 12, Properties: 6.",
Core/MouseSettings.cs,109,WootMouseRemap,0,1,0,0,5,0,0,False,False,False,False,False,False,False,False,False,False,0,1,"Types: 0 class(es), 1 struct(s), 0 interface(s), 0 enum(s). Methods: 5, Properties: 0.",
Core/MouseSettingsBus.cs,52,WootMouseRemap,1,0,0,0,3,0,0,False,False,False,False,False,False,False,False,False,False,0,1,"Types: 1 class(es), 0 struct(s), 0 interface(s), 0 enum(s). Methods: 3, Properties: 0.",
Core/ProfileManager.cs,383,WootMouseRemap.Core,3,0,0,0,13,17,0,False,False,False,False,False,False,False,False,False,False,0,1,"Types: 3 class(es), 0 struct(s), 0 interface(s), 0 enum(s). Methods: 13, Properties: 17.",
Core/ThreadSafeModeController.cs,322,WootMouseRemap.Core,2,0,0,0,11,5,0,False,False,False,False,False,False,False,False,False,False,0,1,"Types: 2 class(es), 0 struct(s), 0 interface(s), 0 enum(s). Methods: 11, Properties: 5.",
Diagnostics/Logger.cs,38,WootMouseRemap,1,0,0,0,6,0,0,False,False,False,False,False,False,False,False,False,True,0,1,"Types: 1 class(es), 0 struct(s), 0 interface(s), 0 enum(s). Methods: 6, Properties: 0.",Prefer DateTime.UtcNow for timestamps; use time providers for testability.
Diagnostics/ModeDiagnostics.cs,267,WootMouseRemap.Diagnostics,3,0,0,0,7,8,0,False,False,False,False,False,False,False,False,False,False,0,1,"Types: 3 class(es), 0 struct(s), 0 interface(s), 0 enum(s). Methods: 7, Properties: 8.",
Diagnostics/ModeDiagnosticTool.cs,235,WootMouseRemap.Diagnostics,1,0,0,0,2,0,0,False,False,False,False,False,False,False,False,False,True,0,1,"Types: 1 class(es), 0 struct(s), 0 interface(s), 0 enum(s). Methods: 2, Properties: 0.",Prefer DateTime.UtcNow for timestamps; use time providers for testability. ViGEm updates without Submit/SubmitReport detected: ensure each update tick submits to the virtual device.
Diagnostics/PassthroughDiagnostics.cs,366,WootMouseRemap.Diagnostics,4,0,0,0,7,27,0,False,False,False,False,False,False,False,False,False,False,0,1,"Types: 4 class(es), 0 struct(s), 0 interface(s), 0 enum(s). Methods: 7, Properties: 27.",ViGEm updates without Submit/SubmitReport detected: ensure each update tick submits to the virtual device.
Diagnostics/Telemetry.cs,14,WootMouseRemap,1,0,0,0,1,7,0,False,False,False,False,False,False,False,False,False,False,0,1,"Types: 1 class(es), 0 struct(s), 0 interface(s), 0 enum(s). Methods: 1, Properties: 7.",
Features/AntiRecoil.cs,654,WootMouseRemap.Features,6,0,0,0,17,44,0,False,False,False,False,False,False,False,False,False,True,0,1,"Types: 6 class(es), 0 struct(s), 0 interface(s), 0 enum(s). Methods: 17, Properties: 44.",Prefer DateTime.UtcNow for timestamps; use time providers for testability.
Features/PatternTransforms.cs,453,WootMouseRemap.Features,3,0,0,0,13,16,0,False,False,False,False,False,False,False,False,False,False,0,1,"Types: 3 class(es), 0 struct(s), 0 interface(s), 0 enum(s). Methods: 13, Properties: 16.",
Gamepad/ControllerDetector.cs,251,WootMouseRemap,1,0,0,0,8,3,0,False,False,False,False,False,False,False,False,False,False,0,1,"Types: 1 class(es), 0 struct(s), 0 interface(s), 0 enum(s). Methods: 8, Properties: 3.",ViGEm updates without Submit/SubmitReport detected: ensure each update tick submits to the virtual device.
Gamepad/XInputHelper.cs,208,WootMouseRemap,4,3,0,0,15,0,6,False,False,False,False,False,False,False,False,False,False,0,3,"Types: 4 class(es), 3 struct(s), 0 interface(s), 0 enum(s). Methods: 15, Properties: 0. P/Invoke: 6 import(s).","DllImport: add SetLastError=true where appropriate and check Marshal.GetLastWin32Error(). DllImport: specify CharSet (e.g., CharSet.Unicode) to avoid ANSI/Unicode mismatches. DllImport: add SetLastError=true where appropriate and check Marshal.GetLastWin32Error(). DllImport: specify CharSet (e.g., CharSet.Unicode) to avoid ANSI/Unicode mismatches. DllImport: add SetLastError=true where appropriate and check Marshal.GetLastWin32Error(). DllImport: specify CharSet (e.g., CharSet.Unicode) to avoid ANSI/Unicode mismatches. DllImport: add SetLastError=true where appropriate and check Marshal.GetLastWin32Error(). DllImport: specify CharSet (e.g., CharSet.Unicode) to avoid ANSI/Unicode mismatches. DllImport: add SetLastError=true where appropriate and check Marshal.GetLastWin32Error(). DllImport: specify CharSet (e.g., CharSet.Unicode) to avoid ANSI/Unicode mismatches. DllImport: add SetLastError=true where appropriate and check Marshal.GetLastWin32Error(). DllImport: specify CharSet (e.g., CharSet.Unicode) to avoid ANSI/Unicode mismatches."
Gamepad/XInputPassthrough.cs,457,WootMouseRemap,1,0,0,0,10,2,0,False,False,False,False,True,False,False,False,False,False,1,1,"Types: 1 class(es), 0 struct(s), 0 interface(s), 0 enum(s). Methods: 10, Properties: 2. ViGEm submits: Submit=1, SubmitReport=0.",
Input/LowLevelHooks.cs,303,WootMouseRemap,1,3,0,0,11,2,5,False,False,False,False,False,False,False,False,False,False,0,3,"Types: 1 class(es), 3 struct(s), 0 interface(s), 0 enum(s). Methods: 11, Properties: 2. P/Invoke: 5 import(s).","DllImport: add SetLastError=true where appropriate and check Marshal.GetLastWin32Error(). DllImport: specify CharSet (e.g., CharSet.Unicode) to avoid ANSI/Unicode mismatches. DllImport: add SetLastError=true where appropriate and check Marshal.GetLastWin32Error(). DllImport: specify CharSet (e.g., CharSet.Unicode) to avoid ANSI/Unicode mismatches. DllImport: add SetLastError=true where appropriate and check Marshal.GetLastWin32Error(). DllImport: specify CharSet (e.g., CharSet.Unicode) to avoid ANSI/Unicode mismatches. DllImport: add SetLastError=true where appropriate and check Marshal.GetLastWin32Error(). DllImport: specify CharSet (e.g., CharSet.Unicode) to avoid ANSI/Unicode mismatches. P/Invoke: prefer SafeHandle/critical handle wrappers over raw IntPtr where possible."
Input/RawInput.cs,170,WootMouseRemap,1,4,0,0,7,0,2,True,False,False,False,False,False,False,False,False,False,0,3,"Types: 1 class(es), 4 struct(s), 0 interface(s), 0 enum(s). Methods: 7, Properties: 0. P/Invoke: 2 import(s). Contains 'unsafe' code.","DllImport: specify CharSet (e.g., CharSet.Unicode) to avoid ANSI/Unicode mismatches. DllImport: specify CharSet (e.g., CharSet.Unicode) to avoid ANSI/Unicode mismatches. P/Invoke: prefer SafeHandle/critical handle wrappers over raw IntPtr where possible. Unsafe code present: ensure bounds checks and pinning are correct; add tests around marshaling."
Input/RawInputMsgWindow.cs,32,WootMouseRemap,1,0,0,0,2,0,0,False,False,False,False,False,False,False,False,False,False,0,1,"Types: 1 class(es), 0 struct(s), 0 interface(s), 0 enum(s). Methods: 2, Properties: 0.",
Interop/DeviceHider.cs,253,WootMouseRemap.Interop,2,3,0,0,12,3,7,False,False,False,False,False,False,False,False,False,False,0,3,"Types: 2 class(es), 3 struct(s), 0 interface(s), 0 enum(s). Methods: 12, Properties: 3. P/Invoke: 7 import(s).","DllImport: specify CharSet (e.g., CharSet.Unicode) to avoid ANSI/Unicode mismatches. DllImport: specify CharSet (e.g., CharSet.Unicode) to avoid ANSI/Unicode mismatches. DllImport: specify CharSet (e.g., CharSet.Unicode) to avoid ANSI/Unicode mismatches. P/Invoke: prefer SafeHandle/critical handle wrappers over raw IntPtr where possible."
Macros/MacroEngine.cs,53,WootMouseRemap,1,0,0,0,3,0,0,False,False,False,False,False,False,False,False,False,False,3,1,"Types: 1 class(es), 0 struct(s), 0 interface(s), 0 enum(s). Methods: 3, Properties: 0. ViGEm submits: Submit=3, SubmitReport=0.",
Modes/ControllerOutputMode.cs,1119,WootMouseRemap.Modes,5,0,0,0,24,21,0,False,False,False,False,True,False,False,False,False,False,1,1,"Types: 5 class(es), 0 struct(s), 0 interface(s), 0 enum(s). Methods: 24, Properties: 21. ViGEm submits: Submit=1, SubmitReport=0.",Thread.Sleep in UI context: consider async/await or timers to avoid UI freezes.
Modes/ControllerPassthroughMode.cs,968,WootMouseRemap.Modes,5,0,0,0,27,22,0,False,False,False,False,True,False,False,False,False,False,0,1,"Types: 5 class(es), 0 struct(s), 0 interface(s), 0 enum(s). Methods: 27, Properties: 22.",ViGEm updates without Submit/SubmitReport detected: ensure each update tick submits to the virtual device.
Modes/IModeHandler.cs,25,WootMouseRemap.Modes,0,0,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,0,1,"Types: 0 class(es), 0 struct(s), 1 interface(s), 0 enum(s). Methods: 0, Properties: 0.",
Modes/ModeManager.cs,444,WootMouseRemap.Modes,1,0,0,0,13,2,0,False,False,False,False,False,False,False,False,False,False,0,1,"Types: 1 class(es), 0 struct(s), 0 interface(s), 0 enum(s). Methods: 13, Properties: 2.",
Processing/CurveProcessor.cs,121,WootMouseRemap,1,0,0,0,3,10,0,False,False,False,False,False,False,False,False,False,False,0,1,"Types: 1 class(es), 0 struct(s), 0 interface(s), 0 enum(s). Methods: 3, Properties: 10.",
Processing/StickMapper.cs,38,WootMouseRemap,1,0,0,0,1,0,0,False,False,False,False,False,False,False,False,False,False,0,1,"Types: 1 class(es), 0 struct(s), 0 interface(s), 0 enum(s). Methods: 1, Properties: 0.",
Tests/AntiRecoilTests.cs,232,WootMouseRemap.Tests,1,0,0,0,13,0,0,False,False,False,False,True,False,False,False,False,False,0,1,"Types: 1 class(es), 0 struct(s), 0 interface(s), 0 enum(s). Methods: 13, Properties: 0.",
Tests/BackupManagerTests.cs,303,WootMouseRemap.Tests,1,0,0,0,18,0,0,False,False,False,False,True,False,False,False,False,False,0,1,"Types: 1 class(es), 0 struct(s), 0 interface(s), 0 enum(s). Methods: 18, Properties: 0.",
Tests/ErrorRecoveryTests.cs,238,WootMouseRemap.Tests,3,0,0,0,21,0,0,False,False,False,False,True,False,False,False,False,False,0,1,"Types: 3 class(es), 0 struct(s), 0 interface(s), 0 enum(s). Methods: 21, Properties: 0.",
Tests/ModeServiceTests.cs,133,WootMouseRemap.Tests,3,0,0,0,27,0,0,False,False,False,False,False,False,False,False,False,False,0,1,"Types: 3 class(es), 0 struct(s), 0 interface(s), 0 enum(s). Methods: 27, Properties: 0.",
Tests/ModeSystemTests.cs,292,WootMouseRemap.Tests,1,0,0,0,9,0,0,False,False,False,False,False,False,False,False,False,False,0,1,"Types: 1 class(es), 0 struct(s), 0 interface(s), 0 enum(s). Methods: 9, Properties: 0.",
Tests/PatternTransformTests.cs,246,WootMouseRemap.Tests,1,0,0,0,14,0,0,False,False,False,False,False,False,False,False,False,False,0,1,"Types: 1 class(es), 0 struct(s), 0 interface(s), 0 enum(s). Methods: 14, Properties: 0.",
Tests/ThreadSafetyTests.cs,302,WootMouseRemap.Tests,1,0,0,0,7,0,0,False,False,False,False,True,False,False,True,False,False,0,1,"Types: 1 class(es), 0 struct(s), 0 interface(s), 0 enum(s). Methods: 7, Properties: 0.",Avoid GC.Collect; let the GC decide or address allocation pressure directly.
Tests/ValidationTests.cs,287,WootMouseRemap.Tests,1,0,0,0,21,0,0,False,False,False,False,False,False,False,False,False,False,0,1,"Types: 1 class(es), 0 struct(s), 0 interface(s), 0 enum(s). Methods: 21, Properties: 0.",
Tests/ViewModelTests.cs,219,WootMouseRemap.Tests,1,0,0,0,10,0,0,False,False,False,False,False,False,False,False,False,False,0,1,"Types: 1 class(es), 0 struct(s), 0 interface(s), 0 enum(s). Methods: 10, Properties: 0.",
UI/AdvancedFeatures.cs,332,WootMouseRemap.UI,7,0,0,0,15,11,0,False,False,False,False,False,False,False,False,False,True,0,1,"Types: 7 class(es), 0 struct(s), 0 interface(s), 0 enum(s). Methods: 15, Properties: 11.",Prefer DateTime.UtcNow for timestamps; use time providers for testability.
UI/AdvancedMouseSettingsForm.cs,722,WootMouseRemap.UI,1,0,0,0,27,0,0,False,False,False,False,False,False,False,False,False,False,0,1,"Types: 1 class(es), 0 struct(s), 0 interface(s), 0 enum(s). Methods: 27, Properties: 0.",
UI/AntiRecoilConfigForm.cs,2577,WootMouseRemap.UI,4,0,0,0,74,2,0,False,False,False,False,False,False,False,False,False,True,0,1,"Types: 4 class(es), 0 struct(s), 0 interface(s), 0 enum(s). Methods: 74, Properties: 2.",Prefer DateTime.UtcNow for timestamps; use time providers for testability.
UI/AntiRecoilViewModel.cs,200,WootMouseRemap.UI,1,0,0,0,4,11,0,False,False,False,False,False,False,False,False,False,False,0,1,"Types: 1 class(es), 0 struct(s), 0 interface(s), 0 enum(s). Methods: 4, Properties: 11.",
UI/CompactAdvancedForm.cs,625,WootMouseRemap.UI,1,0,0,0,16,0,0,False,False,False,False,False,True,False,False,False,True,0,2,"Types: 1 class(es), 0 struct(s), 0 interface(s), 0 enum(s). Methods: 16, Properties: 0.",Avoid Application.DoEvents(); refactor long-running work off the UI thread. Prefer DateTime.UtcNow for timestamps; use time providers for testability.
UI/HelpSystem.cs,448,WootMouseRemap.UI,4,0,0,0,9,3,0,False,False,False,False,False,False,False,False,False,False,0,1,"Types: 4 class(es), 0 struct(s), 0 interface(s), 0 enum(s). Methods: 9, Properties: 3.",
UI/InputVisualizerControl.cs,201,WootMouseRemap,1,0,0,0,10,0,0,False,False,False,False,False,False,False,False,False,False,0,1,"Types: 1 class(es), 0 struct(s), 0 interface(s), 0 enum(s). Methods: 10, Properties: 0.",
UI/ModeDiagnosticForm.cs,242,WootMouseRemap.UI,1,0,0,0,7,0,0,False,False,False,False,False,True,False,False,False,True,0,2,"Types: 1 class(es), 0 struct(s), 0 interface(s), 0 enum(s). Methods: 7, Properties: 0.",Avoid Application.DoEvents(); refactor long-running work off the UI thread. Prefer DateTime.UtcNow for timestamps; use time providers for testability. ViGEm updates without Submit/SubmitReport detected: ensure each update tick submits to the virtual device.
UI/MouseSettingsBinder.cs,143,WootMouseRemap,1,0,0,0,12,0,0,False,False,False,False,False,False,False,False,False,False,0,1,"Types: 1 class(es), 0 struct(s), 0 interface(s), 0 enum(s). Methods: 12, Properties: 0.",
UI/PatternGraphControl.cs,520,WootMouseRemap.UI,3,0,0,1,20,11,0,False,False,False,False,False,False,False,False,False,False,0,1,"Types: 3 class(es), 0 struct(s), 0 interface(s), 1 enum(s). Methods: 20, Properties: 11.",
UI/SettingsForm.cs,238,WootMouseRemap.UI,1,0,0,0,7,0,0,False,False,False,False,False,False,False,False,False,False,0,1,"Types: 1 class(es), 0 struct(s), 0 interface(s), 0 enum(s). Methods: 7, Properties: 0.",
UI/TelemetryControl.cs,471,WootMouseRemap.UI,3,0,0,1,18,20,0,False,False,False,False,False,False,False,False,False,False,0,1,"Types: 3 class(es), 0 struct(s), 0 interface(s), 1 enum(s). Methods: 18, Properties: 20.",
UI/TrayManager.cs,670,WootMouseRemap.UI,1,0,0,0,23,0,0,False,False,False,False,True,False,False,False,False,True,0,1,"Types: 1 class(es), 0 struct(s), 0 interface(s), 0 enum(s). Methods: 23, Properties: 0.",Thread.Sleep in UI context: consider async/await or timers to avoid UI freezes. Prefer DateTime.UtcNow for timestamps; use time providers for testability. ViGEm updates without Submit/SubmitReport detected: ensure each update tick submits to the virtual device.
UI/ValidationSystem.cs,319,WootMouseRemap.UI,6,0,0,1,17,11,0,False,False,False,False,False,False,False,False,False,False,0,1,"Types: 6 class(es), 0 struct(s), 0 interface(s), 1 enum(s). Methods: 17, Properties: 11.",
VirtualPad/Xbox360ControllerWrapper.cs,229,WootMouseRemap,2,0,0,0,14,0,0,False,False,False,False,True,False,False,False,False,False,2,1,"Types: 2 class(es), 0 struct(s), 0 interface(s), 0 enum(s). Methods: 14, Properties: 0. ViGEm submits: Submit=0, SubmitReport=2.",
